# Title: ChampPG
# Last Updated: 6/30/23
# ===============================================================

127.0.0.1 localhost
127.0.0.1 localhost.localdomain
127.0.0.1 local
255.255.255.255 broadcasthost
::1 localhost
::1 ip6-localhost
::1 ip6-loopback
fe80::1%lo0 localhost
ff00::0 ip6-localnet
ff00::0 ip6-mcastprefix
ff02::1 ip6-allnodes
ff02::2 ip6-allrouters
ff02::3 ip6-allhosts
0.0.0.0 0.0.0.0

#=====================================
0.0.0.0 www.coolmath.com
0.0.0.0 Kongregate.com
0.0.0.0 Agame.com
0.0.0.0 Miniclip.com
0.0.0.0 BoredGames.com
0.0.0.0 Pogo.com
0.0.0.0 Y8.com
0.0.0.0 A10.com
0.0.0.0 Playretrogames.com
0.0.0.0 MmoGames.com
0.0.0.0 Poki.com
0.0.0.0 247games.com
0.0.0.0 Arkadium.com
0.0.0.0 Freeonlinegames.com
0.0.0.0 Addictinggames.com
0.0.0.0 newgrounds.com
0.0.0.0 games.aarp.org
0.0.0.0 freegames.org
0.0.0.0 agame.com
0.0.0.0 gamesgames.com
0.0.0.0 poki.com
0.0.0.0 bigfishgames.com
0.0.0.0 wellgames.com
0.0.0.0 1001games.com
0.0.0.0 pogo.com
0.0.0.0 addictinggames.com
0.0.0.0 girlsgogames.com
0.0.0.0 now.gg
0.0.0.0 cartoonnetworkhq.com
0.0.0.0 gamaverse.com
0.0.0.0 kizi.com
0.0.0.0 pbskids.org
0.0.0.0 plarium.com
0.0.0.0 boomerangtv.co.uk
0.0.0.0 gamesrader.com
0.0.0.0 funnygames.org
0.0.0.0 gameforge.com
0.0.0.0 miniclip.com
0.0.0.0 cartoonnetwork.com
0.0.0.0 king.com
0.0.0.0 armorgames.com
0.0.0.0 freeonlinegames.com
0.0.0.0 play-games.com
0.0.0.0 bbc.co.uk
0.0.0.0 funbrain.com
0.0.0.0 gametop.com
0.0.0.0 prodigygame.com
0.0.0.0 game-game.com
0.0.0.0 crazygames.com
0.0.0.0 kongregate.com
0.0.0.0 games.msn.com
0.0.0.0 shockwave.com
